latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.80714,-0.26166,296.67,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,269.02,4.04,N
35.81026,-0.25407,308.36,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,271.15,4.04,N
35.81294,-0.26561,295.42,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,263.94,1.14,N
35.81432,-0.27152,307.35,0.54,0.51,2026-09-18,226,N21,VIIRS,n,2.0NRT,268.06,1.14,N
36.71369,-4.33056,304.5,0.49,0.4,2026-09-18,226,N21,VIIRS,n,2.0NRT,291.92,1.32,N
36.71521,-4.33238,306.49,0.49,0.4,2026-09-18,226,N21,VIIRS,n,2.0NRT,291.65,0.9,N
36.96679,-1.90701,304.34,0.42,0.45,2026-09-18,226,N21,VIIRS,n,2.0NRT,289.91,1.62,N
37.55616,-5.79981,302.27,0.42,0.38,2026-09-18,226,N21,VIIRS,n,2.0NRT,290.26,1.04,N
38.49932,-8.93547,299.36,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,286.93,0.76,N
38.63,-9.07796,305.3,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,290.11,0.88,N
38.66764,-4.04935,304.68,0.47,0.4,2026-09-18,226,N21,VIIRS,n,2.0NRT,286.97,2.38,N
38.92022,-9.01293,314.46,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,290.6,1.42,N
39.68536,-8.90819,301.5,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,286.97,1.01,N
40.24522,-3.47382,326.62,0.47,0.4,2026-09-18,226,N21,VIIRS,n,2.0NRT,289.56,3.92,N
40.2873,-8.4178,296.13,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,283.17,0.68,N
41.57814,-8.19886,301.82,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,281.47,0.9,N
41.57882,-8.20343,297.58,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,281.33,0.9,N
41.92365,0.18034,307.7,0.41,0.45,2026-09-18,226,N21,VIIRS,n,2.0NRT,286.15,1.23,N
42.55184,-6.76859,300.84,0.38,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,281.02,0.84,N
42.64478,-8.23873,299.23,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,268.33,1.28,N
42.64809,-8.23788,304.11,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,268.49,1.11,N
42.64876,-8.24253,303.77,0.39,0.36,2026-09-18,226,N21,VIIRS,n,2.0NRT,268.34,1.11,N
